389 612
40 188 48
40 188 49
40 188 50
41 188 48
41 188 49
41 188 50
41 188 51
41 188 52
41 188 53
41 188 54
41 188 55
41 189 44
41 189 45
41 189 46
41 189 47
41 193 51
41 193 52
42 188 47
42 188 48
42 188 49
42 188 50
42 188 51
42 188 52
42 188 53
42 188 54
42 188 55
42 188 56
42 188 57
42 188 58
42 188 59
42 188 60
42 189 44
42 189 45
42 189 46
42 189 47
42 189 48
42 189 49
42 189 50
42 189 51
42 193 50
42 193 51
42 193 52
42 193 53
42 193 54
42 194 46
42 194 47
43 188 47
43 188 48
43 188 49
43 188 50
43 188 51
43 188 52
43 188 53
43 188 54
43 188 55
43 188 56
43 188 57
43 188 58
43 188 59
43 188 60
43 188 61
43 188 62
43 188 63
43 189 44
43 189 45
43 189 46
43 189 47
43 189 48
43 189 49
43 189 50
43 189 51
43 189 52
43 189 53
43 189 54
43 189 55
43 190 44
43 190 45
43 193 50
43 193 51
43 193 52
43 193 53
43 193 54
43 193 55
43 193 56
43 194 45
43 194 46
43 194 47
43 194 48
43 194 49
44 187 53
44 187 54
44 187 55
44 187 56
44 187 57
44 188 46
44 188 47
44 188 48
44 188 49
44 188 50
44 188 51
44 188 52
44 188 53
44 188 54
44 188 55
44 188 56
44 188 57
44 188 58
44 188 59
44 188 60
44 188 61
44 188 62
44 188 63
44 188 64
44 189 44
44 189 45
44 189 46
44 189 47
44 189 48
44 189 49
44 189 50
44 189 51
44 189 52
44 189 53
44 189 54
44 189 55
44 189 56
44 189 57
44 190 44
44 190 45
44 190 46
44 190 47
44 190 48
44 193 49
44 193 50
44 193 51
44 193 52
44 193 53
44 193 54
44 193 55
44 193 56
44 193 57
44 194 45
44 194 46
44 194 47
44 194 48
44 194 49
44 194 50
45 187 52
45 187 53
45 187 54
45 187 55
45 187 56
45 187 57
45 187 58
45 188 46
45 188 47
45 188 48
45 188 49
45 188 50
45 188 51
45 188 52
45 188 53
45 188 54
45 188 55
45 188 56
45 188 57
45 188 58
45 188 59
45 188 60
45 188 61
45 188 62
45 188 63
45 188 64
45 189 44
45 189 45
45 189 46
45 189 47
45 189 48
45 189 49
45 189 50
45 189 51
45 189 52
45 189 53
45 189 54
45 189 55
45 189 56
45 189 57
45 189 58
45 189 59
45 190 44
45 190 45
45 190 46
45 190 47
45 190 48
45 190 49
45 193 49
45 193 50
45 193 51
45 193 52
45 193 53
45 193 54
45 193 55
45 193 56
45 193 57
45 193 58
45 194 45
45 194 46
45 194 47
45 194 48
45 194 49
45 194 50
45 194 51
46 187 51
46 187 52
46 187 53
46 187 54
46 187 55
46 187 56
46 187 57
46 187 58
46 187 59
46 188 45
46 188 46
46 188 47
46 188 48
46 188 49
46 188 50
46 188 51
46 188 52
46 188 53
46 188 54
46 188 55
46 188 56
46 188 57
46 188 58
46 188 59
46 188 60
46 188 61
46 188 62
46 188 63
46 188 64
46 188 65
46 189 44
46 189 45
46 189 46
46 189 47
46 189 48
46 189 49
46 189 50
46 189 51
46 189 52
46 189 53
46 189 54
46 189 55
46 189 56
46 189 57
46 189 58
46 189 59
46 190 44
46 190 45
46 190 46
46 190 47
46 190 48
46 190 49
46 190 50
46 193 48
46 193 49
46 193 50
46 193 51
46 193 52
46 193 53
46 193 54
46 193 55
46 193 56
46 193 57
46 193 58
46 194 45
46 194 46
46 194 47
46 194 48
46 194 49
46 194 50
46 194 51
47 187 50
47 187 51
47 187 52
47 187 53
47 187 54
47 187 55
47 187 56
47 187 57
47 187 58
47 187 59
47 187 60
47 188 45
47 188 46
47 188 47
47 188 48
47 188 49
47 188 50
47 188 51
47 188 52
47 188 53
47 188 54
47 188 55
47 188 56
47 188 57
47 188 58
47 188 59
47 188 60
47 188 61
47 188 62
47 188 63
47 188 64
47 188 65
47 189 44
47 189 45
47 189 46
47 189 47
47 189 48
47 189 49
47 189 50
47 189 51
47 189 52
47 189 53
47 189 54
47 189 55
47 189 56
47 189 57
47 189 58
47 189 59
47 190 44
47 190 45
47 190 46
47 190 47
47 190 48
47 190 49
47 193 48
47 193 49
47 193 50
47 193 51
47 193 52
47 193 53
47 193 54
47 193 55
47 193 56
47 193 57
47 193 58
47 194 45
47 194 46
47 194 47
47 194 48
47 194 49
47 194 50
47 194 51
48 187 49
48 187 50
48 187 51
48 187 52
48 187 53
48 187 54
48 187 55
48 187 56
48 187 57
48 187 58
48 187 59
48 187 60
48 187 61
48 188 45
48 188 46
48 188 47
48 188 48
48 188 49
48 188 50
48 188 51
48 188 52
48 188 53
48 188 54
48 188 55
48 188 56
48 188 57
48 188 58
48 188 59
48 188 60
48 188 61
48 188 62
48 188 63
48 188 64
48 188 65
48 189 44
48 189 45
48 189 46
48 189 47
48 189 48
48 189 49
48 189 50
48 189 51
48 189 52
48 189 53
48 189 54
48 189 55
48 189 56
48 189 57
48 190 44
48 190 45
48 190 46
48 190 47
48 190 48
48 193 48
48 193 49
48 193 50
48 193 51
48 193 52
48 193 53
48 193 54
48 193 55
48 193 56
48 193 57
48 194 45
48 194 46
48 194 47
48 194 48
48 194 49
48 194 50
49 187 49
49 187 50
49 187 51
49 187 52
49 187 53
49 187 54
49 187 55
49 187 56
49 187 57
49 187 58
49 187 59
49 187 60
49 187 61
49 188 45
49 188 46
49 188 47
49 188 48
49 188 49
49 188 50
49 188 51
49 188 52
49 188 53
49 188 54
49 188 55
49 188 56
49 188 57
49 188 58
49 188 59
49 188 60
49 188 61
49 188 62
49 188 63
49 189 44
49 189 45
49 189 46
49 189 47
49 189 48
49 189 49
49 189 50
49 189 51
49 189 52
49 189 53
49 189 54
49 189 55
49 190 44
49 190 45
49 193 47
49 193 48
49 193 49
49 193 50
49 193 51
49 193 52
49 193 53
49 193 54
49 193 55
49 193 56
49 194 45
49 194 46
49 194 47
49 194 48
49 194 49
50 187 48
50 187 49
50 187 50
50 187 51
50 187 52
50 187 53
50 187 54
50 187 55
50 187 56
50 187 57
50 187 58
50 187 59
50 187 60
50 187 61
50 187 62
50 188 45
50 188 46
50 188 47
50 188 48
50 188 49
50 188 50
50 188 51
50 188 52
50 188 53
50 188 54
50 188 55
50 188 56
50 188 57
50 188 58
50 188 59
50 188 60
50 189 44
50 189 45
50 189 46
50 189 47
50 189 48
50 189 49
50 189 50
50 189 51
50 192 54
50 192 55
50 192 56
50 193 47
50 193 48
50 193 49
50 193 50
50 193 51
50 193 52
50 193 53
50 193 54
50 194 45
50 194 46
50 194 47
51 187 48
51 187 49
51 187 50
51 187 51
51 187 52
51 187 53
51 187 54
51 187 55
51 187 56
51 187 57
51 187 58
51 187 59
51 187 60
51 187 61
51 187 62
51 188 45
51 188 46
51 188 47
51 188 48
51 188 49
51 188 50
51 188 51
51 188 52
51 188 53
51 188 54
51 188 55
51 189 45
51 189 46
51 189 47
51 192 53
51 192 54
51 192 55
51 192 56
51 192 57
51 193 47
51 193 48
51 193 49
51 193 50
51 193 51
51 193 52
51 194 45
52 187 47
52 187 48
52 187 49
52 187 50
52 187 51
52 187 52
52 187 53
52 187 54
52 187 55
52 187 56
52 187 57
52 188 45
52 188 46
52 188 47
52 188 48
52 188 49
52 188 50
52 192 52
52 192 53
52 192 54
52 192 55
52 193 46
52 193 47
52 193 48
52 193 49
53 187 47
53 187 48
53 187 49
53 187 50
53 187 51
53 192 51
53 192 52
53 193 46
